"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"4918",440,"no","no",5,5,4,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","yes","owned","no","Yes","Yes","No","No","missing","very_low","No","No","No","No",-0.410180970299791,"5pr-9pr"
"4919",440,"yes","no",5,4,4,"Male","Routine,_semi-routine_or_unemployed","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_low","Yes","No","No","Yes",-1.28984193967779,"13pr-21pr"
"4920",439,"yes","yes",6,7,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","No",-1.14885709113065,"5pr-9pr"
"4921",439,"yes","yes",7,6,6,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.716013179634071,"5pr-9pr"
"4922",439,"yes","yes",6,6,6,"Female","Intermediate","GCSE_grades_A-C_or_equiv","yes","owned","no","Yes","Yes","No","Yes","missing","high","No","No","No","No",0.157932417888458,"21pr-35pr"
"4924",439,"yes","no",6,6,5,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","No","No","Yes","2_evenings","very_high","No","No","No","No",-0.132606416670247,"21pr-35pr"
"4925",439,"yes","yes",6,6,5,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","yes","owned","no","Yes","No","No","Yes","2_evenings","low","No","No","No","No",-1.06840978949768,"5pr-9pr"
"4926",439,"yes","yes",6,6,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","No","5_evenings","very_low","No","No","No","No",-1.09584065040565,"<5pr"
"4927",439,"yes","yes",4,6,5,"Female","Routine,_semi-routine_or_unemployed","Other_qualifications","yes","rented","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",1.50288419869316,"21pr-35pr"
"4928",439,"yes","no",6,5,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","No","1_evening","very_low","No","No","No","No",0.279986223195567,"9pr-13pr"
"4929",439,"yes","no",5,5,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",0.778491867212557,"21pr-35pr"
"4931",439,"yes","yes",6,8,7,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","low","Yes","No","missing","missing",0.743212927581498,"<5pr"
"4932",439,"yes","yes",6,7,6,"Male","Routine,_semi-routine_or_unemployed","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.457558333227503,"13pr-21pr"
"4934",439,"yes","no",5,7,6,"Male","Intermediate","Other_qualifications","no","rented","no","Yes","No","No","Yes","1_evening","very_high","No","No","No","No",1.14931894585143,"35pr+"
"4935",439,"yes","yes",6,6,6,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",1.73081139586876,"35pr+"
