ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
758.5,yes,yes,6,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-0.896690077248999,5pr-9pr
758,yes,yes,7,8,7,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,No,No,Yes,5_evenings,very_high,No,No,No,No,1.13420514294658,<5pr
758,yes,yes,7,8,7,Female,missing,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-0.501650817610845,<5pr
758,yes,yes,6,6,6,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,no,rented,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,0.851233707755519,35pr+
758,yes,yes,6,6,6,Female,Managerial_and_professional,missing,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,0.194212102485926,35pr+
758,yes,yes,7,7,7,Male,missing,No_qualification,no,owned,no,Yes,Yes,No,Yes,1_evening,high,No,No,No,No,-0.761796969815379,<5pr
754,yes,yes,7,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,missing,No,No,No,No,0.559534478816758,35pr+
754,yes,yes,6,7,6,Female,Managerial_and_professional,No_qualification,no,rented,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.66812081118855,5pr-9pr
754,yes,yes,7,8,7,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-1.90318537614908,<5pr
754,yes,yes,6,5,6,Male,missing,No_qualification,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.37068566366045,35pr+
752,yes,yes,7,7,7,Female,missing,HE_below_degree_level,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-1.35966110575533,9pr-13pr
752,yes,yes,7,6,6,Female,missing,No_qualification,yes,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,Yes,No,No,No,1.45400563084796,35pr+
752,yes,yes,6,7,6,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,Yes,Yes,2_evenings,very_high,No,No,No,No,0.530278917556016,<5pr
751,yes,yes,7,8,7,Female,Intermediate,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.094411599836584,5pr-9pr
751,yes,yes,7,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_low,No,No,No,No,-0.500929179450202,<5pr
750,yes,yes,5,6,5,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.91008985532257,9pr-13pr
748,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-1.8845406391385,5pr-9pr
